matricula,data_inicio_execucao,equipamento,trabalho_real
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,1
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,1
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,17/5/2023,10000008,
50,3/8/2023,10000008,"0,6"
50,10/5/2023,10000008,1
50,10/5/2023,10000008,1
50,10/5/2023,10000008,1
50,29/1/2024,10000008,1
50,29/1/2024,10000008,2
50,30/1/2024,10000008,1
50,21/2/2024,10000008,"0,6"
50,8/5/2023,10000008,1
50,8/5/2023,10000008,1
50,21/9/2023,10000008,1
50,30/5/2023,10000008,"376,2"
50,23/5/2023,10000008,1
50,23/5/2023,10000008,1
50,23/5/2023,10000008,1
50,17/5/2023,10000008,1
50,29/6/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,5/7/2023,10000008,"0,6"
50,7/7/2023,10000008,"0,6"
50,20/9/2023,10000008,1
50,18/9/2023,10000008,"1,8"
50,19/7/2023,10000008,"0,6"
50,20/7/2023,10000008,"0,6"
50,21/7/2023,10000008,"0,6"
50,21/7/2023,10000008,"1,2"
50,21/7/2023,10000008,"1,2"
50,21/7/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,8"
50,18/9/2023,10000008,"1,8"
50,24/7/2023,10000008,"20,4"
50,25/7/2023,10000008,"0,6"
50,25/7/2023,10000008,"0,6"
50,18/9/2023,10000008,"1,2"
50,25/7/2023,10000008,"0,6"
50,25/7/2023,10000008,"0,6"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,2"
50,18/9/2023,10000008,"1,8"
50,18/9/2023,10000008,"0,6"
50,2/8/2023,10000008,"0,6"
50,2/8/2023,10000008,"1,8"
50,18/9/2023,10000008,"0,6"
50,18/9/2023,10000008,9
50,31/8/2023,10000008,"1,8"
50,2/8/2023,10000008,"0,6"
50,3/8/2023,10000008,"0,6"
50,11/8/2023,10000008,1
50,11/8/2023,10000008,1
50,10/8/2023,10000008,1
50,3/8/2023,10000008,"0,6"
50,3/8/2023,10000008,"0,6"
50,21/9/2023,10000009,1
50,21/2/2024,10000011,"0,6"
50,13/7/2023,10000017,"10,2"
50,13/7/2023,10000017,"0,6"
50,29/4/2024,10000051,"4,8"
50,29/4/2024,10000051,"100,2"
50,29/4/2024,10000051,"0,5"
50,28/5/2024,10000051,"0,6"
50,19/7/2023,10000059,"0,6"
50,22/5/2023,10000140,1
50,6/12/2023,10000154,
50,2/8/2023,10000155,"0,6"
50,29/1/2024,10000168,1
50,10/7/2023,10000168,"0,6"
50,29/1/2024,10000168,
50,29/1/2024,10000168,
50,29/1/2024,10000168,
50,26/7/2023,10000174,"4,2"
50,2/8/2023,10000184,"1,2"
50,22/5/2024,10000184,"0,6"
50,29/5/2023,110000502,
52,24/8/2023,1560,"0,6"
52,7/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,7/12/2023,1560,1
52,28/11/2023,1560,1
52,28/11/2023,1560,1
52,25/10/2023,1560,1
52,28/9/2023,1560,1
52,10/8/2023,1560,1
52,28/11/2023,1560,1
52,15/9/2023,1560,"0,6"
52,20/11/2023,1560,1
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,23/8/2023,1560,"0,6"
52,18/8/2023,1561,"0,6"
52,18/8/2023,1561,"31,8"
52,15/9/2023,1561,"0,6"
52,28/9/2023,1561,
52,28/9/2023,1561,1
